template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
similar_feeling_en,baseline,150,3.33,0.67,2.67,0.00,0.67,0.00
similar_feeling_en,0,150,0.00,0.00,0.00,0.00,0.67,0.00
similar_feeling_en,15,150,0.67,0.00,0.67,0.00,0.67,0.00
similar_feeling_en,30,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,60,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,75,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,90,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,105,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,120,150,1.33,0.00,1.33,0.00,0.00,0.00
similar_feeling_en,135,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,150,150,1.33,0.00,1.33,0.00,0.00,0.00
similar_feeling_en,165,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,180,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,195,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,210,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,225,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,240,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,255,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,270,150,1.33,0.00,1.33,0.00,0.00,0.00
similar_feeling_en,285,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,300,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,315,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_feeling_en,330,150,0.67,0.00,0.67,0.00,0.67,0.00
similar_feeling_en,345,150,0.00,0.00,0.00,0.00,0.67,0.00
similar_mood_en,baseline,150,1.33,0.00,1.33,0.00,0.00,0.00
similar_mood_en,0,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_mood_en,15,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_mood_en,30,150,1.33,0.00,1.33,0.00,0.00,0.00
similar_mood_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,60,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_mood_en,75,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_mood_en,90,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_mood_en,105,150,0.00,0.00,0.00,0.00,0.00,0.00
