template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
similar_tweet_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,0,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_tweet_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,60,150,0.00,0.00,0.00,0.00,0.67,0.00
similar_tweet_en,75,150,2.67,2.67,0.00,0.00,0.67,0.00
similar_tweet_en,90,150,4.00,3.33,0.67,0.00,4.00,0.00
similar_tweet_en,105,150,10.00,9.33,0.00,0.00,12.67,0.00
similar_tweet_en,120,150,16.67,15.33,1.33,0.00,16.00,0.00
similar_tweet_en,135,150,26.00,16.67,12.00,0.00,14.67,0.00
similar_tweet_en,150,150,20.00,16.67,3.33,0.00,16.00,0.00
similar_tweet_en,165,150,20.00,12.67,8.00,0.00,8.67,0.00
similar_tweet_en,180,150,21.33,19.33,0.67,0.00,9.33,0.00
similar_tweet_en,195,150,13.33,13.33,0.00,0.00,4.00,0.00
similar_tweet_en,210,150,1.33,0.67,0.00,0.00,0.67,0.00
similar_tweet_en,225,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,240,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_tweet_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,270,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,285,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_tweet_en,300,150,1.33,0.67,0.67,0.00,0.00,0.00
similar_tweet_en,315,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_tweet_en,345,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,30,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_feeling_en,45,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_feeling_en,60,150,0.67,0.67,0.00,0.00,0.67,0.00
similar_feeling_en,75,150,3.33,2.67,0.67,0.00,1.33,0.00
similar_feeling_en,90,150,4.67,4.00,0.67,0.00,4.67,0.00
similar_feeling_en,105,150,10.00,9.33,0.67,0.00,12.00,0.00
similar_feeling_en,120,150,10.67,10.00,0.67,0.00,12.00,0.00
similar_feeling_en,135,150,11.33,9.33,2.67,0.00,10.00,0.00
similar_feeling_en,150,150,20.67,16.67,4.00,0.00,17.33,0.00
similar_feeling_en,165,150,16.67,13.33,4.00,0.00,9.33,0.00
similar_feeling_en,180,150,23.33,19.33,0.00,0.00,16.00,0.00
similar_feeling_en,195,150,11.33,10.00,0.00,0.00,2.67,0.00
similar_feeling_en,210,150,4.67,3.33,1.33,0.00,0.67,0.00
similar_feeling_en,225,150,2.00,1.33,0.67,0.00,0.67,0.00
similar_feeling_en,240,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,270,150,2.00,0.00,2.00,0.00,0.00,0.00
similar_feeling_en,285,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,300,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_feeling_en,315,150,1.33,0.67,0.67,0.00,0.00,0.00
similar_feeling_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_feeling_en,345,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,60,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_energy_en,75,150,2.67,2.67,0.00,0.00,2.67,0.00
similar_energy_en,90,150,10.00,10.00,0.00,0.00,6.67,0.00
similar_energy_en,105,150,7.33,7.33,0.00,0.00,10.67,0.00
similar_energy_en,120,150,10.00,10.00,0.00,0.00,12.67,0.00
similar_energy_en,135,150,11.33,6.00,5.33,0.00,5.33,0.00
similar_energy_en,150,150,26.67,23.33,4.00,0.00,19.33,0.00
similar_energy_en,165,150,12.67,11.33,1.33,0.00,5.33,0.00
similar_energy_en,180,150,19.33,19.33,0.00,0.00,9.33,0.00
similar_energy_en,195,150,22.67,18.67,0.00,0.00,6.00,0.00
similar_energy_en,210,150,2.67,2.00,0.67,0.00,2.00,0.00
similar_energy_en,225,150,0.67,0.67,0.00,0.00,0.67,0.00
similar_energy_en,240,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_energy_en,255,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,270,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,285,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_energy_en,300,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,315,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_energy_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_energy_en,345,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_single_en,baseline,150,1.33,0.00,1.33,0.00,0.00,0.00
similar_single_en,0,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_single_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_single_en,30,150,1.33,0.67,0.67,0.00,0.00,0.00
similar_single_en,45,150,1.33,1.33,0.00,0.00,0.00,0.00
similar_single_en,60,150,2.00,1.33,0.67,0.00,1.33,0.00
similar_single_en,75,150,6.00,6.00,0.00,0.00,6.00,0.00
similar_single_en,90,150,6.00,5.33,0.67,0.00,9.33,0.00
similar_single_en,105,150,8.00,8.00,0.00,0.00,15.33,0.00
similar_single_en,120,150,17.33,16.67,0.67,0.00,23.33,0.00
similar_single_en,135,150,38.67,25.33,13.33,0.00,22.67,0.00
similar_single_en,150,150,30.67,24.00,4.67,0.00,24.67,0.00
similar_single_en,165,150,26.67,24.67,0.67,0.00,16.00,0.00
similar_single_en,180,150,36.67,34.00,0.00,0.00,13.33,0.00
similar_single_en,195,150,17.33,14.67,0.00,0.00,6.67,0.00
similar_single_en,210,150,4.67,4.67,0.00,0.00,2.67,0.00
similar_single_en,225,150,2.00,2.00,0.00,0.00,2.00,0.00
similar_single_en,240,150,0.67,0.00,0.67,0.00,0.00,0.00
similar_single_en,255,150,0.67,0.00,0.67,0.00,0.67,0.00
similar_single_en,270,150,0.67,0.67,0.00,0.00,0.67,0.00
similar_single_en,285,150,1.33,0.00,1.33,0.00,0.00,0.00
similar_single_en,300,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_single_en,315,150,0.67,0.67,0.00,0.00,0.00,0.00
similar_single_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
similar_single_en,345,150,0.67,0.00,0.67,0.00,0.00,0.00
rewrite_single_en,baseline,150,0.67,0.67,0.00,0.00,0.00,0.00
rewrite_single_en,0,150,1.33,0.67,0.67,0.00,1.33,0.00
rewrite_single_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
rewrite_single_en,30,150,0.67,0.00,0.67,0.00,0.00,0.00
rewrite_single_en,45,150,0.00,0.00,0.00,0.00,1.33,0.00
rewrite_single_en,60,150,1.33,1.33,0.00,0.00,0.67,0.00
rewrite_single_en,75,150,4.00,4.00,0.00,0.00,6.67,0.00
rewrite_single_en,90,150,8.00,6.67,1.33,0.00,15.33,0.00
rewrite_single_en,105,150,16.00,16.00,0.00,0.00,23.33,0.00
rewrite_single_en,120,150,22.00,19.33,2.00,0.00,28.00,0.00
rewrite_single_en,135,150,24.67,21.33,3.33,0.00,19.33,0.00
rewrite_single_en,150,150,27.33,25.33,1.33,0.00,25.33,0.00
rewrite_single_en,165,150,34.67,34.00,0.00,0.00,28.67,0.00
rewrite_single_en,180,150,22.67,18.00,0.00,0.00,15.33,0.00
rewrite_single_en,195,150,23.33,22.67,0.00,0.00,11.33,0.00
rewrite_single_en,210,150,12.00,12.00,0.00,0.00,6.00,0.00
rewrite_single_en,225,150,13.33,13.33,0.00,0.00,13.33,0.00
rewrite_single_en,240,150,6.00,5.33,0.67,0.00,4.67,0.00
rewrite_single_en,255,150,2.67,0.67,2.00,0.00,2.67,0.00
rewrite_single_en,270,150,2.67,2.00,0.67,0.00,2.00,0.00
rewrite_single_en,285,150,2.00,2.00,0.00,0.00,2.67,0.00
rewrite_single_en,300,150,1.33,1.33,0.00,0.00,1.33,0.00
rewrite_single_en,315,150,0.00,0.00,0.00,0.00,0.67,0.00
rewrite_single_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
rewrite_single_en,345,150,0.67,0.00,0.67,0.00,0.67,0.00
restate_single_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
restate_single_en,0,150,0.00,0.00,0.00,0.00,0.00,0.00
restate_single_en,15,150,0.00,0.00,0.00,0.00,0.00,0.00
restate_single_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
restate_single_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
restate_single_en,60,150,0.00,0.00,0.00,0.00,0.00,0.00
restate_single_en,75,150,0.00,0.00,0.00,0.00,1.33,0.00
restate_single_en,90,150,1.33,1.33,0.00,0.00,3.33,0.00
restate_single_en,105,150,7.33,7.33,0.00,0.00,9.33,0.00
restate_single_en,120,150,15.33,15.33,0.00,0.00,26.67,0.00
restate_single_en,135,150,21.33,19.33,2.00,0.00,18.67,0.00
restate_single_en,150,150,25.33,24.67,0.00,0.00,17.33,0.00
restate_single_en,165,150,26.67,24.67,0.67,0.00,21.33,0.00
restate_single_en,180,150,14.00,13.33,0.00,0.00,12.00,0.00
restate_single_en,195,150,7.33,7.33,0.00,0.00,2.67,0.00
restate_single_en,210,150,6.67,6.00,0.00,0.00,4.00,0.00
restate_single_en,225,150,8.67,8.67,0.00,0.00,2.00,0.00
restate_single_en,240,150,2.67,2.00,0.67,0.00,2.67,0.00
restate_single_en,255,150,4.00,3.33,0.67,0.00,2.67,0.00
restate_single_en,270,150,0.67,0.67,0.00,0.00,1.33,0.00
restate_single_en,285,150,0.67,0.67,0.00,0.00,2.00,0.00
restate_single_en,300,150,0.67,0.67,0.00,0.00,0.00,0.00
restate_single_en,315,150,1.33,0.00,1.33,0.00,0.00,0.00
restate_single_en,330,150,0.00,0.00,0.00,0.00,0.00,0.00
restate_single_en,345,150,0.00,0.00,0.00,0.00,0.00,0.00
paraphrase_single_en,baseline,150,0.00,0.00,0.00,0.00,0.00,0.00
paraphrase_single_en,0,150,0.00,0.00,0.00,0.00,0.67,0.00
paraphrase_single_en,15,150,0.67,0.67,0.00,0.00,0.00,0.00
paraphrase_single_en,30,150,0.00,0.00,0.00,0.00,0.00,0.00
paraphrase_single_en,45,150,0.00,0.00,0.00,0.00,0.00,0.00
paraphrase_single_en,60,150,3.33,3.33,0.00,0.00,0.67,0.00
paraphrase_single_en,75,150,2.00,2.00,0.00,0.00,2.00,0.00
paraphrase_single_en,90,150,8.00,8.00,0.00,0.00,8.00,0.00
paraphrase_single_en,105,150,12.67,12.67,0.00,0.00,19.33,0.00
paraphrase_single_en,120,150,17.33,16.67,0.67,0.00,22.00,0.00
paraphrase_single_en,135,150,24.67,22.67,2.67,0.00,22.67,0.00
paraphrase_single_en,150,150,25.33,23.33,1.33,0.00,13.33,0.00
paraphrase_single_en,165,150,22.00,21.33,0.67,0.00,10.67,0.00
paraphrase_single_en,180,150,14.67,12.67,0.67,0.00,5.33,0.00
paraphrase_single_en,195,150,11.33,10.67,0.00,0.00,8.00,0.00
paraphrase_single_en,210,150,7.33,6.67,0.67,0.00,4.00,0.00
paraphrase_single_en,225,150,5.33,5.33,0.00,0.00,4.00,0.00
paraphrase_single_en,240,150,1.33,0.00,1.33,0.00,0.00,0.00
paraphrase_single_en,255,150,1.33,1.33,0.00,0.00,2.67,0.00
