template,angle,n,any_primary_pct,REP_pct,CN_pct,EMPTY_pct,LOW_DIV_pct,OFFTOPIC_pct
restate,baseline,150,1.33,0.67,1.33,0.00,0.00,69.33
restate,0,150,2.00,2.00,0.00,0.00,0.00,72.00
restate,15,150,7.33,7.33,0.00,0.00,1.33,68.67
restate,30,150,7.33,7.33,0.00,0.00,0.00,64.67
restate,45,150,10.67,10.67,0.00,0.00,1.33,62.00
restate,60,150,18.00,18.00,0.00,0.00,4.00,61.33
restate,75,150,21.33,21.33,0.00,0.00,7.33,56.00
restate,90,150,33.33,33.33,0.00,0.00,10.00,58.67
restate,105,150,45.33,45.33,0.00,0.00,27.33,63.33
restate,120,150,61.33,61.33,0.00,0.00,39.33,63.33
restate,135,150,52.00,51.33,0.67,0.00,32.00,78.00
restate,150,150,52.00,48.67,6.00,0.00,29.33,92.00
restate,165,150,47.33,47.33,0.67,0.00,31.33,98.67
restate,180,150,29.33,29.33,0.00,0.00,12.00,94.00
restate,195,150,23.33,22.67,0.67,0.00,9.33,94.00
restate,210,150,12.00,11.33,0.67,0.00,2.67,95.33
restate,225,150,8.00,8.00,0.00,0.00,2.00,96.00
restate,240,150,2.00,2.00,0.00,0.00,0.00,95.33
restate,255,150,0.00,0.00,0.00,0.00,0.00,95.33
restate,270,150,2.00,0.67,1.33,0.00,0.00,90.00
restate,285,150,0.67,0.67,0.67,0.00,0.00,77.33
restate,300,150,0.67,0.00,0.67,0.00,0.00,78.67
restate,315,150,1.33,0.00,1.33,0.00,0.00,72.67
restate,330,150,5.33,4.00,1.33,0.00,0.67,73.33
restate,345,150,1.33,1.33,0.00,0.00,0.67,75.33
rewrite,baseline,150,5.33,4.67,0.67,0.00,0.67,60.67
rewrite,0,150,3.33,2.67,0.67,0.00,0.00,60.00
rewrite,15,150,2.67,2.67,0.00,0.00,0.67,60.00
rewrite,30,150,4.00,3.33,0.67,0.00,0.67,62.67
rewrite,45,150,6.67,6.67,0.00,0.00,1.33,58.67
rewrite,60,150,11.33,11.33,0.00,0.00,0.67,40.00
rewrite,75,150,22.67,22.67,0.00,0.00,1.33,38.00
rewrite,90,150,26.00,26.00,0.00,0.00,2.67,42.67
rewrite,105,150,23.33,23.33,0.00,0.00,4.00,46.67
rewrite,120,150,28.67,28.67,0.00,0.00,13.33,50.00
rewrite,135,150,33.33,29.33,4.67,0.00,20.67,74.67
rewrite,150,150,30.67,27.33,6.00,0.00,18.67,87.33
rewrite,165,150,42.00,42.00,0.00,0.00,28.00,90.00
rewrite,180,150,45.33,45.33,0.00,0.00,16.00,88.67
rewrite,195,150,29.33,29.33,0.00,0.00,10.00,92.00
rewrite,210,150,25.33,25.33,0.00,0.00,3.33,86.00
rewrite,225,150,16.67,16.67,0.00,0.00,4.00,80.67
rewrite,240,150,6.67,6.00,0.67,0.00,0.67,85.33
rewrite,255,150,0.67,0.67,0.00,0.00,0.00,84.00
rewrite,270,150,2.00,2.00,0.00,0.00,0.00,84.67
rewrite,285,150,3.33,3.33,0.00,0.00,0.00,70.00
rewrite,300,150,1.33,1.33,0.00,0.00,0.00,66.00
rewrite,315,150,3.33,3.33,0.00,0.00,0.00,65.33
rewrite,330,150,2.67,2.67,0.00,0.00,0.00,60.00
rewrite,345,150,3.33,2.67,0.67,0.00,0.00,60.00
rewrite_en,baseline,150,2.00,2.00,0.00,0.00,0.00,50.67
rewrite_en,0,150,3.33,2.67,0.67,0.00,0.00,48.67
rewrite_en,15,150,2.67,2.67,0.00,0.00,0.00,46.67
rewrite_en,30,150,3.33,3.33,0.00,0.00,0.00,48.00
rewrite_en,45,150,5.33,5.33,0.00,0.00,0.00,38.67
rewrite_en,60,150,19.33,19.33,0.00,0.00,0.67,30.67
rewrite_en,75,150,30.67,30.67,0.00,0.00,6.67,29.33
rewrite_en,90,150,27.33,26.67,0.67,0.00,10.00,40.67
rewrite_en,105,150,26.00,24.67,1.33,0.00,10.00,41.33
rewrite_en,120,150,45.33,44.67,1.33,0.00,23.33,48.00
rewrite_en,135,150,28.67,26.67,4.00,0.00,22.00,83.33
rewrite_en,150,150,38.00,35.33,6.67,0.00,26.00,90.67
rewrite_en,165,150,54.00,54.00,0.67,0.00,36.00,90.00
rewrite_en,180,150,59.33,59.33,0.00,0.00,32.00,92.00
rewrite_en,195,150,42.67,42.67,0.00,0.00,20.00,93.33
rewrite_en,210,150,28.00,28.00,0.00,0.00,8.67,91.33
rewrite_en,225,150,6.67,6.00,0.67,0.00,0.00,87.33
rewrite_en,240,150,5.33,4.67,0.67,0.00,0.00,82.00
rewrite_en,255,150,3.33,3.33,0.00,0.00,0.00,79.33
rewrite_en,270,150,0.67,0.67,0.00,0.00,0.67,78.00
rewrite_en,285,150,0.67,0.67,0.00,0.00,0.00,73.33
rewrite_en,300,150,2.00,2.00,0.00,0.00,0.00,68.67
rewrite_en,315,150,4.00,4.00,0.00,0.00,0.67,64.67
rewrite_en,330,150,2.67,2.67,0.00,0.00,0.00,58.67
rewrite_en,345,150,3.33,2.67,0.67,0.00,0.00,54.00
paraphrase_en,baseline,150,6.67,6.67,0.00,0.00,0.00,42.00
paraphrase_en,0,150,6.00,6.00,0.00,0.00,0.00,43.33
paraphrase_en,15,150,6.00,6.00,0.00,0.00,0.00,39.33
paraphrase_en,30,150,6.00,6.00,0.00,0.00,0.00,42.67
paraphrase_en,45,150,8.67,8.67,0.00,0.00,0.00,36.00
paraphrase_en,60,150,14.67,14.67,0.00,0.00,1.33,28.00
paraphrase_en,75,150,29.33,28.67,0.67,0.00,0.67,26.67
paraphrase_en,90,150,27.33,27.33,0.00,0.00,5.33,22.00
paraphrase_en,105,150,23.33,23.33,0.00,0.00,5.33,15.33
paraphrase_en,120,150,30.00,30.00,0.00,0.00,16.00,25.33
paraphrase_en,135,150,37.33,36.00,1.33,0.00,22.00,65.33
paraphrase_en,150,150,42.67,42.00,0.67,0.00,18.00,76.00
paraphrase_en,165,150,28.00,28.00,0.00,0.00,10.67,88.67
paraphrase_en,180,150,26.00,26.00,0.00,0.00,8.67,92.00
paraphrase_en,195,150,16.67,16.67,0.00,0.00,3.33,92.00
paraphrase_en,210,150,10.67,10.67,0.00,0.00,2.00,90.67
paraphrase_en,225,150,4.67,4.67,0.00,0.00,0.00,83.33
paraphrase_en,240,150,2.00,2.00,0.00,0.00,0.00,76.00
paraphrase_en,255,150,2.67,2.67,0.00,0.00,0.67,78.00
paraphrase_en,270,150,2.00,1.33,0.67,0.00,0.00,70.00
paraphrase_en,285,150,4.67,4.67,0.00,0.00,0.67,64.00
paraphrase_en,300,150,5.33,5.33,0.00,0.00,0.00,54.67
paraphrase_en,315,150,7.33,6.67,0.67,0.00,0.00,51.33
paraphrase_en,330,150,6.67,6.00,0.67,0.00,0.00,46.00
paraphrase_en,345,150,7.33,7.33,0.00,0.00,0.00,45.33
similar_tweet_en,baseline,150,2.00,2.00,0.00,0.00,0.00,76.00
similar_tweet_en,0,150,4.00,3.33,0.67,0.00,0.00,64.00
similar_tweet_en,15,150,4.00,4.00,0.00,0.00,0.00,61.33
similar_tweet_en,30,150,3.33,3.33,0.00,0.00,0.00,55.33
similar_tweet_en,45,150,8.67,8.67,0.00,0.00,0.00,32.67
similar_tweet_en,60,150,10.00,10.00,0.00,0.00,0.67,31.33
similar_tweet_en,75,150,15.33,15.33,0.00,0.00,0.67,23.33
similar_tweet_en,90,150,20.67,20.00,0.67,0.00,4.00,18.67
similar_tweet_en,105,150,25.33,25.33,0.00,0.00,12.67,25.33
similar_tweet_en,120,150,34.00,32.67,1.33,0.00,16.00,44.00
similar_tweet_en,135,150,36.00,26.67,12.00,0.00,14.67,77.33
similar_tweet_en,150,150,27.33,24.00,3.33,0.00,16.00,88.00
similar_tweet_en,165,150,26.67,22.00,8.00,0.00,8.67,98.67
similar_tweet_en,180,150,26.00,25.33,0.67,0.00,9.33,96.67
similar_tweet_en,195,150,17.33,17.33,0.00,0.00,4.00,94.00
similar_tweet_en,210,150,2.67,2.67,0.00,0.00,0.67,96.00
similar_tweet_en,225,150,1.33,1.33,0.00,0.00,0.00,96.00
similar_tweet_en,240,150,0.67,0.00,0.67,0.00,0.00,95.33
similar_tweet_en,255,150,0.00,0.00,0.00,0.00,0.00,90.00
similar_tweet_en,270,150,0.00,0.00,0.00,0.00,0.00,86.67
similar_tweet_en,285,150,1.33,0.67,0.67,0.00,0.00,82.67
similar_tweet_en,300,150,1.33,0.67,0.67,0.00,0.00,78.67
similar_tweet_en,315,150,1.33,1.33,0.00,0.00,0.00,73.33
similar_tweet_en,330,150,2.67,2.67,0.00,0.00,0.00,72.67
similar_tweet_en,345,150,2.67,2.67,0.00,0.00,0.00,66.00
